timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694874691729,605,Create Eng Instance with Default mask ,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1125,1215,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC440015EAF3/dseng:EngInstance?$mask=dskern:Mask.Default&tenant=R1132100512396,605,0,0
1694874690870,1450,pre-req for Case6,200,"Number of samples in transaction : 2, number of failing samples : 0",GetSetPosition EngInstance Scenario 1-1,,true,,2380,2167,1,1,null,1449,33,0
1694874692354,582,TestStep22:Negative Case-Set Position of Engineering instance error with invalid matrix format,400,,GetSetPosition EngInstance Scenario 1-1,text,true,,922,1545,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC440015EAF3/dseng:EngInstance?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,582,0,0
1694874692951,364,TestStep23:Negative Case-Modify Position of Engineering instance error with invalid matrix format,400,,GetSetPosition EngInstance Scenario 1-1,text,true,,922,1162,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC440015EAF3/dseng:EngInstance/8E4FBA104E3700006505BC45001205E7?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,364,0,0
1694874693331,505,TestStep24:Negative Case-Set Position of Engineering instance error with invalid key,400,,GetSetPosition EngInstance Scenario 1-1,text,true,,941,1550,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC440015EAF3/dseng:EngInstance?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,505,0,0
1694874693852,378,TestStep25:Negative Case-Modify Position of Engineering instance error with invalid key,400,,GetSetPosition EngInstance Scenario 1-1,text,true,,941,1167,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC440015EAF3/dseng:EngInstance/8E4FBA104E3700006505BC45001205E7?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,377,0,0
1694874694244,911,Create Eng Item with Default mask,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1262,952,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem?$mask=dskern:Mask.Default&tenant=R1132100512396,911,0,0
1694874695169,640,Create Eng Instance with Default mask ,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1124,1215,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC47001D56F9/dseng:EngInstance?$mask=dskern:Mask.Default&tenant=R1132100512396,640,0,0
1694874695829,722,Create CA,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1215,892,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dslc/changeaction?tenant=R1132100512396,722,0,0
1694874696569,943,Change Maturity Of CA,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1015,791,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dslc/maturity/changeState?tenant=R1132100512396,943,0,0
1694874694243,3216,pre-req for Case9,200,"Number of samples in transaction : 4, number of failing samples : 0",GetSetPosition EngInstance Scenario 1-1,,true,,4616,3850,1,1,null,3216,68,0
1694874697529,1280,TestStep28:Modify Position of engineering instance with CA,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1316,1230,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC47001D56F9/dseng:EngInstance/8E4FBA104E3700006505BC490002A2EF?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,1280,0,0
1694874698838,138,Get CA Realized Changes,200,,GetSetPosition EngInstance Scenario 1-1,text,true,,1397,770,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dslc/changeaction/8E4FBA104E3700006505BC490011DEBB?tenant=R1132100512396&$fields=realizedChanges,138,0,0
1694874675498,22336,CloudGetSetPositionMatrix Scenario,,"Number of samples in transaction : 49, number of failing samples : 10",GetSetPosition EngInstance Scenario 1-1,,false,,53538,80835,1,1,null,22332,1152,0
1694874698992,129,TestStep26:CSRF Check-Set Position of engineering instance,403,,GetSetPosition EngInstance Scenario 1-1,text,true,,933,1488,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC47001D56F9/dseng:EngInstance?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,129,0,0
1694874699135,239,TestStep27:CSRF Check-Modify Position of engineering instance,403,,GetSetPosition EngInstance Scenario 1-1,text,true,,933,1105,1,1,https://R1132100512396-eu1-space.3dexperience.3ds.com/enovia/resources/v1/modeler/dseng/dseng:EngItem/8E4FBA104E3700006505BC47001D56F9/dseng:EngInstance/8E4FBA104E3700006505BC490002A2EF?$mask=dsmveng:EngInstanceMask.Position&tenant=R1132100512396,238,0,0
1694874698991,368,CSRF Check -Case8,200,"Number of samples in transaction : 2, number of failing samples : 0",GetSetPosition EngInstance Scenario 1-1,,true,,1866,2593,1,1,null,367,29,0
